영화제목,개봉일자,애매매출액,예매관객수
나혼자 프린스,2025-11-19,"60,300,600","8,212"
정보원,2025-12-03,"51,628,100","5,637"
윗집 사람들,2025-12-03,"56,170,600","5,005"
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,"100,050,000","4,002"
퍼스트 라이드,2025-10-29,"30,210,700","3,473"
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,"84,425,000","3,377"
세계의 주인,2025-10-22,"31,289,800","2,921"
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,"84,216,000","2,552"
맨홀,2025-11-19,"13,938,400","1,708"
통잠,2025-11-19,"9,654,600","1,639"
너와 나의 5분,2025-11-05,"9,086,500","1,106"
한란,2025-11-26,"8,190,300",905
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,"19,575,000",783
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,"5,210,100",565
힘,2025-11-27,"4,741,000",431
보스,2025-10-03,"2,785,000",396
고당도,2025-12-10,"3,608,800",363
구원자,2025-11-05,"2,323,500",302
헤어질 결심,2022-06-29,"3,377,000",284
고양이를 부탁해,2001-10-12,"2,775,000",236
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,"7,755,000",235
마사이 크로스,2025-11-20,"2,571,100",234
어쩔수가없다,2025-09-24,"2,521,760",221
멀고도 가까운,2025-12-03,"1,962,000",218
달팽이 농구단,2025-11-12,"1,475,000",190
나비잠,2018-09-06,"2,418,000",188
지드래곤 인 시네마 [위버맨쉬],2025-10-29,"4,250,000",170
"거짓말, 뱀파이어가 어디 있어?",None,"4,920,000",164
만남의 집,2025-10-15,"1,700,000",160
용한 소녀,None,"1,674,500",154
바로 지금 여기,2025-09-17,"1,200,000",150
지구의 주인은 고양이다,None,"1,071,200",150
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,"3,358,600",138
3670,2025-09-03,"1,336,000",136
넌센스,2025-11-26,"1,797,000",134
바람이 전하는 말,2025-11-05,"1,622,000",134
전지적 독자 시점,2025-07-23,"1,736,000",124
로보카폴리 사막 구조대 이야기,None,"882,500",116
콩나물,None,"330,000",114
나쁜 영화 감독판,None,"876,000",88
날개는 베개 밑에 숨겨두었어,None,"840,000",84
극장의 시간들,None,"959,000",75
지구를 지켜라,2003-04-04,"804,000",75
에스퍼의 빛,2025-11-05,"714,000",71
리코더 시험,None,"203,000",69
지금은맞고그때는틀리다,2015-09-24,"759,000",65
마더,2009-05-28,"703,000",61
사람과 고기,2025-10-07,"533,900",56
미망,2024-11-20,"534,000",55
제18회 스토리업쇼츠 섹션1. 남겨진 이들의 계절,None,"506,000",55
종이 울리는 순간,2025-11-12,"609,000",53
고갈 감독판,None,"496,000",50
마루는 강쥐,None,"398,600",50
엄마를 버리러 갑니다,2025-11-05,"509,000",44
다시 쓰는 희노애락,None,"280,000",40
제18회 스토리업쇼츠 섹션2. 불협화음의 시대,None,"312,000",34
반짝반짝 달님이,None,"240,000",34
나쁜계집애: 달려라 하니,2025-10-07,"310,000",30
양양,2025-10-22,"249,000",29
최초의 기억,2025-11-12,"273,000",27
썬더버드,2022-09-21,"270,000",27
1980 사북,2025-10-29,"204,000",27
초콜릿,2025-11-19,"194,600",22
직지루트; 테라 인코그니타,2025-11-12,"190,000",19
브레드이발소: 베이커리타운의 악당들,2025-09-27,"138,300",17
어쩌면 해피엔딩,2025-10-02,"131,000",17
WDN 섹션 1: 경험의 가장자리,None,"140,000",14
바얌섬,2025-10-29,"115,000",14
샤샤 & 마일로,None,"88,000",14
롤링스톤,None,"120,000",12
하얀 차를 탄 여자,2025-10-29,"113,000",12
3학년 2학기,2025-09-03,"81,000",10
제27회 부산독립영화제 메이드 인 부산 4,None,"76,000",10
WDN 섹션 2: 기억과 장소의 가장자리,None,"90,000",9
도돌이 언덕에 난기류,None,"72,000",9
제97회 작은영화영화제 - 떠나도 함께,None,"45,000",9
산산조각 난 해,None,"45,000",9
제27회 부산독립영화제 메이드 인 부산 3,None,"64,000",8
제27회 부산독립영화제 스펙트럼 부산-나우 2,None,"60,000",8
한 채,2024-11-20,"69,000",7
연의 편지,2025-10-01,"58,500",7
삼희 : The Adventure of 3 Joys,None,"56,000",7
부력,None,"52,000",7
10월의 어느 멋진 날에,None,"48,000",7
재민이,None,"31,000",7
"그래도, 사랑해.",None,"38,000",5
한국인을 관두는 법,None,"32,000",4
시네마 테러리스트,None,"32,000",4
일단발광,None,"32,000",4
제27회 부산독립영화제 스펙트럼 부산-나우 3,None,"28,000",4
동에 번쩍 서에 번쩍,2025-11-26,"27,000",4
손님,None,"12,000",4
홍이,2025-09-24,"28,000",3
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",None,"26,000",3
얼굴,2025-09-11,"24,400",3
트랜스-컨티넨탈-레일웨이,None,"24,000",3
옹기와 장인,None,"20,000",3
우리의 이름,None,"21,000",2
여름이 지나가면,2025-07-09,"20,000",2
망양 중복,None,"16,000",2
제27회 부산독립영화제 스펙트럼 부산-리와인드,None,"16,000",2
일과 날,2025-07-16,"16,000",2
생명의 은인,2025-11-05,"15,000",2
이로 인해 그대는 죽지 않을 것이다,None,"14,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원2,None,"14,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원1,None,"14,000",2
2025년 11월 수요단편극장,None,"14,000",2
제27회 부산독립영화제 특별상영 1,None,"14,000",2
인디스데이 11월 단편,None,"11,000",2
첫여름,None,"8,000",2
뼈,None,"8,000",1
디바 야누스,2025-10-22,"5,000",1
